id,prompt_type,patient_input
1,clear,"I feel hopeless and exhausted all the time. Nothing feels worth it anymore."
2,clear,"I cry almost every night and everything feels unbearably heavy."
3,clear,"I have been feeling really low for weeks and I can barely get through the day."
4,clear,"Nothing makes me happy anymore, even the things I used to love."
5,clear,"I wake up already feeling drained and overwhelmed by life."
6,clear,"I feel empty most days and I do not know how much longer I can keep functioning like this."
7,clear,"I am struggling to do basic things because everything feels so hard lately."
8,clear,"I feel completely stuck and hopeless about my future."
9,clear,"I feel like I am failing at everything and I cannot stop thinking about it."
10,clear,"Every day feels like a battle and I am exhausted by all of it."
11,clear,"I feel constantly overwhelmed and like I am close to breaking down."
12,clear,"I have lost interest in almost everything and it scares me."
13,clear,"I feel alone even when I am around other people."
14,clear,"I cannot find motivation for even simple things anymore."
15,clear,"I feel like everything is falling apart and I do not know how to handle it."
16,clear,"I have been feeling intensely sad and worn out for a while now."
17,clear,"I feel emotionally drained all the time and nothing seems to help."
18,clear,"I feel like I am not good enough no matter what I do."
19,clear,"I feel overwhelmed and like I do not know how to cope anymore."
20,clear,"I feel like life has become too heavy for me lately."

21,subtle,"I have just been feeling kind of off lately."
22,subtle,"I do not know, I have just been more tired than usual."
23,subtle,"Things are okay, I guess, just not as enjoyable as they used to be."
24,subtle,"I have been keeping up with everything, but it feels harder somehow."
25,subtle,"Nothing is really wrong, I just have not felt like myself lately."
26,subtle,"I have not really wanted to talk to people much these past few days."
27,subtle,"I guess I am okay, just a little more drained than usual."
28,subtle,"I feel a bit disconnected lately, though I cannot really explain why."
29,subtle,"I have been less interested in things, but maybe I am just tired."
30,subtle,"I do not feel terrible, just not great either."
31,subtle,"I have been quieter than usual recently."
32,subtle,"Lately it feels like I am just going through the motions."
33,subtle,"Everything is fine on paper, but I do not feel very motivated."
34,subtle,"I have been more tired socially than I usually am."
35,subtle,"I do not really look forward to things as much anymore."
36,subtle,"I have just felt kind of numb some days."
37,subtle,"I feel mostly okay, just a bit off compared to before."
38,subtle,"I have been more irritable lately and I am not sure why."
39,subtle,"I am doing what I need to do, but it does not feel the same."
40,subtle,"I guess I am fine, just not very excited about anything lately."
